Station ID,Station Name,Station Uncertainty (m)
08623,Kennedy Cove,0.188
08626,Warn Bay,0.206
08630,Cypress Bay,0.205
08632,Herbert Inlet,0.207
08634,Sulphur Passage,0.211
08637,Riley Cove,0.179
08645,Saavedra Islands,0.195
08650,Gold River,0.189
08664,Ceepeecee,0.191
08665,Esperanza,0.221
08670,Zeballos,0.196
08710,Kyuquot,0.199
08714,Copp Island,0.214
08715,Fair Harbour,0.208
08720,Bunsby Islands,0.205
08735,Winter Harbour,0.185
08736,Hunt Islet,0.192
08750,Port Alice,0.205
08754,Bergh Cove,0.224
08755,Kwokwesta Creek,0.224
08756,Makwazniht Island,0.215
08765,Coal Harbour,0.209
08790,Cape Scott,0.210
00880,Trepassey,0.244
08805,Egg Island,0.232
08810,Leroy Bay,0.255
08812,Boswell Inlet,0.238
08814,Smith Inlet,0.235
08830,Draney Inlet,0.228
08840,Wadhams,0.248
08860,Addenbroke Isl.,0.264
08863,Pruth Bay,0.224
08865,Adams Harbour,0.218
08870,Namu,0.245
00890,Fermeuse,0.205
08906,Gosling Island,0.215
08909,Goose Island,0.230
08912,Spider Island,0.252
08917,Stryker Island,0.254
08922,Joassa Channel,0.251
00893,Lance Cove,0.205
08937,Bella Coola,0.271
08952,Luke Passage,0.290
08958,Forit Bay,0.266
08962,Ocean Falls,0.271
08976,Bella Bella,0.228
08978,Kynumpt Harbour,0.249
00898,Gull Island,0.137
08981,Troup Passage,0.250
08996,Gerald Point,0.248
08998,Thompson Bay,0.242
00009,Garnet Point,0.292
00900,Bay Bulls,0.138
09005,Port Blackney,0.261
09010,Tom Bay,0.239
09020,Griffin Passage,0.236
09035,Klemtu,0.233
00905,St. Johns,0.152
09053,Butedale,0.284
09056,Higgins Passage,0.264
09058,Price Island,0.261
09060,Meyers Narrows,0.231
09063,Milne Island,0.268
09067,Smithers Island,0.278
00907,Middle Cove,0.135
09077,McKenney Isl.,0.262
09080,Borrowman Bay,0.236
09082,Beauchemin Channel,0.280
09090,Surf Inlet,0.246
09105,Gillen Harbour,0.276
09115,Barnard Harbour,0.279
00912,Portugal Cove,0.158
09130,Hartley Bay,0.252
09140,Kitimat,0.261
00915,Bell Island,0.132
09150,Kemano Bay,0.272
09165,Block Islands,0.278
09195,Lowe Inlet,0.313
00920,Long Pond,0.143
09227,Bonilla Island,0.274
09230,Griffith Harbour,0.291
09232,Larsen Island,0.281
09242,Kitkatla,0.288
00925,Holyrood Bay,0.205
09250,Seabreeze Point,0.318
09260,Claxton,0.322
09266,Haysport,0.312
09275,Khyex River,0.221
09285,Kwinitsa River,0.141
00093,Public Landing,0.162
09305,Welcome Harbour,0.295
09306,Refuge Bay,0.339
09309,Humpback Bay,0.287
09310,Hunt Inlet,0.308
09312,Lawyer Islands,0.288
09315,Qlawdzeet Anchorage,0.290
00932,Bay Roberts,0.253
09325,Moffatt Islands,0.326
09329,Hudson Bay Passage,0.314
09333,Brundige Inlet,0.311
09338,Aero Trading,0.298
09339,Pembina Terminal,0.297
09340,Inverness,0.345
09341,Porpoise Channel East,0.298
09342,Port Edward,0.316
09343,Wainwright Basin,0.224
